,review_text,review_length,feedback,play_hours,date_posted
436,"This game saved my life.

I am 3000 years old.

My ex-wife and I have a daughter together, and adopted our son together. They are now both 4 years old.

When we were going through our separation, I found myself lost and miserable. I was self destructive. I got so mad one day from everything spiralling out of my control that I punched some concrete in a moment of overwhelming emotion. That caused me to break my 5th metacarpal in my right hand... my working hand... my games hand.. the hand that I held and carried my children to bed with.. The hand I desperately needed to make sure I could continue to provide.

After learning of the severity of my self-inflicted damage, I was borderline suicidal. Keep in mind that just a few months before this, I was the happiest man with no history of depression or anxiety. I have never had fits of rage, or been one to break down and cry, but I was in a low spot that just really buried me from being able to see the light on the other side.

Having nothing better to do, I searched for a game I could play, ONE HANDED while I recovered. I somehow stumbled upon this game and read some of the reviews. I decided that it had to be worth a shot... I must admit, I didn't beat the game, or play nearly as long as some of you. In fact, I may have only played this game a day or two.. With that being said, after doing so, I had a new found joy and hope for life. I was able to put behind me the pain and suffering that had been cast over me. I was able to experience other peoples joy and happiness. I was able to see the fruits of my ""labor"". I relaxed for 5 ♥♥♥♥♥♥♥ minutes to this music long enough to realize that I was going to be okay.

After coming to that realization, I turned the game off, and I went back to work. It hurt my hand like hell but I was motivated. I stopped feeling so damn sorry for myself, and I became the father I needed to be in that moment, not the weak boy I was behaving as.

Today, I am close friend with my kids mother. We don't fight, or argue, or say hurtful things to each other. We are parents, and friends.

I now have 3 kids. My third child is, wait for it, ALSO 4 YEARS OLD. The woman I am with was going through a very similar situation at the time of my own separation, and we just stumbled in to each others life unexpectedly. We have been in a relationship for a year now, and are very happy together.

Moral of the story, you never know what life holds in store for you, and if I would have given up when all the odds were stacked against me, I wouldn't be where I am today. This silly little game helped me realize that.

Thank you.",2113,1,55.6,2025-06-26
437,"While I like this game, I wish steam had a middle ground review option. This game is extremely confusing. The main story is excellent. The moment to moment gameplay is great. The new upgrades feel great, but for some reason it feels like every step of the way, the dev wants you to play as anyone BUT one of the TWO Spider-Men. Why do I spend so much time as Peter or Miles wandering around? Or MJ and Hailey, with the most ungodly boring sequences known to humanity. Give me Spider-Man gameplay!",405,1,18.7,2025-06-26
438,"My pc specs ]
3XS from scan,co.uk
AMD Ryzen 9 5900X
128GB Dual-Channel DDR4
NVIDIA GeForce RTX 4060 Ti 16gb
TUF GAMING B550-PLUS WIFI II (AM4)
ST4000VN008-2DR166
ST4000NE001-2MA101
SOLIDIGM SSDPFKNU010TZ (SSD) (1TB)
SOLIDIGM SSDPFKNU020TZ (SSD) (2TB)
Seagate FireCuda (8TB) HDD Hub
AOC 32"" curve monitor
DEll 24"" monitor
GOxlr with rode NT1A microphone
StreamdeckXL

What the hell is wrong with this game with not even run on my high end pc, this game is trash DO NOT BUY and they need to fix the dam game looks like it going to be a refund for me. BTW got
Marvel’s Spider-Man: Miles Morales at the same timer and it works fine no issues.


from what I can tell this game is a rushed console port without any optimisation for other PC And they have a cheek to sell it for £50 rubbish indy dev are doing better job then this with less people Shame on you for this rubish console port 💩",741,0,1.8,2025-06-26
439,"I like the game and story wise, and manage to complete main story and 80% of the game stuff, but crashes too much, about 1 crash every 2 hours of gameplay maybe more, too sad, because first game and mile morales were flawess experiences to me. If there was a neutral review, I would give this rating, but I can't, I hope they continue to optimize the game.",289,0,27.3,2025-06-26
440,"The game is amazing, very good gameplay and a slightly longer storyline than previous titles.",79,1,30.8,2025-06-26
441,poorly optimized,15,0,8.6,2025-06-26
442,EA SPORTS...apple...tree...Idk,29,1,40.8,2025-06-25
443,"4.5 Mechanics are good, combat is fun.",32,1,30.9,2025-06-25
444,wait for patches to fix the game.,27,1,8.4,2025-06-25
445,"I think we all are agree that one of the best super hero games ever created is this series, we can argue about that Batman series released years ago but for now, this series is the best. We got Avengers, we got Suicide Squad but we all know how those games ends up in the end.

The strongest part of this game is off course it's swinging mechanic. Feels so Spider-Man even they can't create such realistic swinging in the movies. Only the web wings is a bit overwhelming because you can just fly from one part of the city to the other like Superman. I'm overall happy with the traversal in this game, even the addition is also brilliant to add some launch point on the top of buildings across the city. The only thing that I want to add if I could is the mechanic where players can get XP from just swinging. The current mechanics felt to monotone.

The combat mechanic still feel the same with the previous tittle. But more gadget added to the armory is a smart additions. And also it's contantlu evolving and adding trough the story. That feeling when you felt stronger as Peter got that symbiote from Harry is fun, or Miles when he got strange blue electric after his first encounter with Mr. Negative. I love that such development to the characters.

Their decision to use 2 characters in one tittle also brilliant, I think Peter will never make it if Miles wasn't there. The enemies is so many with great development in each character. I haven't meet Venom just yet but as far as I can tell, I like Kraven so much and how they add Lizards to the story line deserve a compliment.

The map is bigger now, But I think they need to add more side activity to the game because the amount of side activity is to less compare to how large the game is. Some activity also feel the same with the previous tittle, I just need more than just chasing a bird robot or clearing some enemies lair. They need to think of more side activity if there's the third tittle.

If you ask me would you recommend this game to the other, yes absolutely. You don't have to like Spider-man to play this game. This game is fun, Serious and Mysterious at the same time. The horror vibe when Spider man chasing lizards and when facing Mysterio illusion is something so refreshing. So yes, I would be happy to put this game one of the best Open World game that I've ever played!",1917,1,45.4,2025-06-25
446,spider fly go weee,15,1,24.6,2025-06-25
447,Gameplay wise it was a massive improvement. There was something about the story and atmosphere that wasn't as great as the first two games though.,122,1,29.5,2025-06-25
448,"Product received for free

Its great, fun, detailed and has an enourmous map and is has a great story line. I think it is slightly restricting though",124,1,15.7,2025-06-25
449,"This game is amazing but It is not worth buying until they fix all the issues with running the game I have no clue how they messed this port up. the other games run perfectly fine but I'm certain not even top of the line PC's could run this game smoothly with the way it lags, glitches textures and so on. I strongly suggest saving your money And playing the other Spiderman games and/or playing the batman games instead.",343,0,32.9,2025-06-25
450,Very good quality and runs smoothly,30,1,31.2,2025-06-25
451,"goated story, goated gameplay",26,1,48.0,2025-06-25
452,they have huge optimization problem at the end of the story but still cool game,65,1,29.9,2025-06-24
453,worse game steam has allowed on there platform. good game when its not bugged. it has 0 optimisation. it has bugged cut scenes and will spawn you in random spots and insta kill you once the game stops wigging out. the fact its been released on steam for this long and still has this amount of issues is ridiculous. steam pull your head in and pull this game till its fixed or fix the price. paying 100+ dollars for a game and you can barely play is garbage. waste of money and time. do not purchase. unless your buying it for the ps. and for anyone that thinks im playing on some cheap ♥♥♥♥ pc im running a ryzen 7 7800x3d with a rx7900xtx 24gb. no matter how low or high the graphics are and with ray tracing on or off its cooked reguardless. do yourself a favour and save your time and MONEY!,641,0,19.9,2025-06-24
454,Absolute cinema,14,1,21.5,2025-06-24
455,"Completed this game 100% when it released on the PS5. Solid game, story feels a little bit rushed. Gameplay is better than the 2 games before. Solid 8.5/10",128,1,13.9,2025-06-24
456,its good if you set your pc properley,30,1,69.8,2025-06-24
457,"MID REVIEW. JUUUUST MORE POSITIVE THAN NEGATIVE. GET ON SALE
GET IT FOR THE GAMEPLAY, NOT THE STORY. YOU NEED AN NVME SSD AND A RELATIVELY POWERFUL CPU

Man, what a sad waste of potential in a way. The quality of the cutscenes, animations and voice acting is fantastic, but once again its in the service of a mediocre story, that feels rushed and like it had pieces ripped off of it throughout development. Kraven's role is a mess and he goes out like a wet fart, this version of Venom had a lot of potential but the whole development is rushed and it feels mishandled.
Miles' role in the story should have been far more minimal, his sidequests are ALL Woke fluff and filler that feels like a parody of itself, I'm not kidding, it's that bad. Every time his girlfirend appears on screen, I cringe.
The desperation to install Miles and replace Peter is palpable and I hate it.

The gameplay flows much better than the original, not just combat, but traversal and the fast travel system is impresisve even if I do miss the subways, and would have kept them as as joke option. MY only issue with combat remains that one enemy that you cant find to end the fight because they flew to one distant corner and stayed there killing the flow, but it is very satisfying.
I do also believe upgrades to gadgets should be cheaper so players that dont like doing so much repetitive sidecontent can get more of a look at afuller powerkit.
I still think most MJ sections are pointless (there's only one good one where she is chased by the Symbiote) but at least her equipment makes it more tolerable than the terrible stealth sections of the first game.

They wasted Sandman and Mysterio on sideactivity fluff that I thought were going to have actual promise at the end but are just generic fights and a series of audilogs with a SUPER small cutscene at the end. At least Mysterio gets a boss fight after the quest (short and mid like the previous ones), they probably thought the opening covered Sandman, I wanted more.
And seriously, I cant let go of how every single Miles sidequest is bullcrap. Mister Negative's story with Miles is also very mishandled, feels truncated, and could have been really good if it had more time to develop. Black Cat only has a cameo pretty much, another damned shame. I hope they didnt just assume they would get DLCs and then didnt.
Spider-Sense and powers have been nerfed. MJ Literally reacts faster than Peter in a really stupid scene, both Spiders are surprised constantly, MJs gun hurts enemies more than spider-punches... The power scaling is a bit of a mess.

If you can focus on the fun of the gameplay. and not pay much attention to the massive pile of wasted potential that is everything else, there is fun to be had, and despite the story problems, some set-pieces and sequences are really damn impressive. Like I said, I wish animation and presentation this good came with better writing. Insomniac are solid at what they do when they are not too busy virtue signaling.

Get it on sale, dont waste too much time on the repetitive sideactivities that are ultimately not satifying, just do the Blue Peter Sidequests and you will have fun here.
Now where's my damn actually good Mysterio game other than Shattered Dimensions or S2 for Ps2

As for the port, like the previous one, it's very cpu demanding (gpu too, but gamers are usually les equipped on the cpu side), but its plain worse. It scales decently to the low end, so long as you dont hope for high framerates or textures since its alsoa bit of a Vram hog. I appreciate it can scale to the steam deck, but you will probably want a consistent 60 with at least high textures and 1080p or more on a desktop and you will see cpu bound drops or gpu choke points regularly on many systems well within the recommended paramenters. Its much, much more expensive than on console. Someone even tested the game with equivalent settings on base ps5 vs a matching hardware pc and yeah, the port stutters and runs about half was well. Its not a great conversion. RT is prohibitive except for the super high end, which is a shame, but so is having high consitent framerates with no bad 1% drops. This might get better with patched, but you may need to use framegen as a clutch in some places. It scales down nicely to a compromised low, the high end might bruteforce it, (even if the 9800x3d can only get around 85fps before getting cpu bound) but the medium end is screwed. They need to keeeeep patching this one",3689,0,19.4,2025-06-24
458,Story pacing is kinda wonky but the game is fun to play. Had a much better time than the Remastered 1st game.,88,1,24.6,2025-06-24
459,the game runs flawlessly on all the highest settings just dont use the ray tracing options because even with the highest end Pc's it just dosent work but with everything else it looks freakin amazing and i love it,175,1,17.9,2025-06-24
460,ef,2,1,15.3,2025-06-24
461,pretty fun,9,1,14.0,2025-06-24
462,.,1,1,41.4,2025-06-24
463,AWESOME GAME,11,1,19.2,2025-06-24
464,I waited to buy this until most of the bugs were ironed out. Now it is not bug free but the ones i have experienced so far have been very minor. Overall it is a fantastic game good story and amazing web swinging gameplay buy it,182,1,34.0,2025-06-24
465,This is so fun,11,1,39.5,2025-06-24
466,"good
game",9,1,21.2,2025-06-24
467,fun,3,1,27.9,2025-06-24
468,"Holy. All I have to say about this game. I have played both Spider-man(2018) and Miles and I have to say that Spider-man 2 is better then them by A lot. Game is fun, suits are good, the story is good. I have no bad comments. Good job Insomniac",195,1,49.6,2025-06-24
469,"Havent finished the game yet but I love it, love how it goes into their personal life more too. Now that they've updated it I havent had a problem with optimization. I run a 2060 with a crappy gpu and i get close to 100 frames on med-low which im happy with because the game still looks beautiful. There are still some problems though, just with the cutscenes not registering in time and some voicelines not being audible. Other than that love the game, if your procrastinating on buying it, just do it. Its so worth it.",424,1,18.1,2025-06-24
470,very sigma,9,1,53.6,2025-06-24
471,spiders and mans swinging about pretty pog,36,1,19.3,2025-06-24
472,"I’d been waiting more than a year and a half to buy and download Spider-Man 2 on PC. Huge thanks to Sony for skipping PSN finally.

The game itself is incredible. The animations, effects, and everything look stunning - especially those fight sequences when Miles and Peter tag-team enemies. But I did notice a bit of stagnation in the smaller details. What the hell happened to Peter’s new suits? They look rushed - more like pajamas than superhero gear. I’d much rather have just a few amazing outfits than a dozen half-baked ones I’ll never use.

As for the story, I actually preferred the first game. It hit me harder emotionally, felt longer, and kept me on the edge of my seat. Spider-Man 2’s narrative isn’t bad by any stretch, but I was expecting that same level of excitement and depth.

Still, despite that, Spider-Man 2 is amazing. Web-swinging through NYC, pulling off insane combos, and seeing both heroes in action is exactly what I wanted. Highly recommend giving it a spin!",820,1,34.0,2025-06-24
473,Fire game fr,10,1,15.6,2025-06-24
474,spiper man,9,1,39.6,2025-06-24
475,fun,3,1,91.5,2025-06-24
476,the city needs me.,15,1,27.9,2025-06-23
477,Mods,4,1,0.5,2025-06-23
478,Game lags a lot and crashes sometimes. Please fix it and I would gladly recommend this game to anyone.,84,0,3.6,2025-06-23
479,great game. Loving it,18,1,31.6,2025-06-23
480,fire game,8,1,41.5,2025-06-23
481,cant even start the game. spent 29 minutes having this crash my pc before i decided its not even worth trying. cant believe a 4090 7950x build couldnt even get to the main menu. -5/10 thanks for wasting 20 mins of my life,179,0,0.5,2025-06-23
482,cant stop jorkin it whenever mary jane pops up on screen,46,1,6.3,2025-06-23
483,SO FUN,5,1,42.9,2025-06-23
484,love it,6,1,31.6,2025-06-23
485,outrageous yes.,14,1,38.7,2025-06-23
486,Can't play more than a couple minutes without the game crashing. I've waited almost 5 months for a fix...,87,0,2.7,2025-06-23
487,"I've played this game twice, once on PS5 and once on PC. I have a mid-tier PC that usually handles newer games just fine, but this one clearly wasn’t optimized for PC. I ran into a bunch of bugs, frequent frame drops, textures that wouldn’t load, and quite a few crashes. If you're playing it for the first time, I definitely recommend going with the PS5 version, the performance is wayyyy better.

Aside from the technical issues on PC, the game itself is great. The combat is a lot of fun, the map is large, and the story is decent. It's not super deep story-wise, but if you're a Spider-Man fan, you’ll definitely enjoy it, there are tons of cool references to classic villains.",559,0,37.3,2025-06-23
488,"So good, they should've dropped DLC for it tho.",39,1,45.0,2025-06-23
489,very great game i own it on playstation but i wanted to try it on pc but it is very unoptimized all i would say is wait a little more before buying.,117,0,9.7,2025-06-22
490,Fantastic game! It was quite buggy on launch but I've not had any issues since.,65,1,17.2,2025-06-22
491,holy peak absoulte cinema,22,1,27.0,2025-06-22
492,great game,9,1,64.8,2025-06-22
494,"Pretty cool spider-man game, and yes I support Felicia Yuri route because I've been shipping Felicia and Tamara ever since 2019 ~~",109,1,18.6,2025-06-22
495,very good grafix,14,1,62.7,2025-06-22
496,lot of fun,8,1,33.6,2025-06-22
497,Optimization still really isn't great. If you have an 8gb GPU be ready to turn down Texture quality in settings otherwise the game will keep struggling to load the map when zipping at high speeds through New York but it is an otherwise very fun game.,205,0,35.8,2025-06-22
498,"I had low expectations about this game because of the criticism it received on launch, but I was pleasantly surprised by the game. The combat is much improved, mission variety is great, the story was gripping and the traversal is the best in gaming.
There are a few negatives though. The PC port is a bit of a mess, the game did not crash, but the performance was a bit unstable at times. The MJ sections were also boring and unnecessary, why would I want to play as an annoying journalist instead of two superheroes. However, the worst part of the game was the Danikast podcast, I can't escape bad podcasts even in video games and just like in real life it is some uninteresting person talking about uninteresting topics.",594,1,21.3,2025-06-22
499,"Absolutely this is the best story in all of the Marvel Game Universe. An absolute tear-jerker that is worth the price of the game itself.

Not to mention one of the easiest games to Platinum.

Can't wait for the final installation",192,1,26.7,2025-06-22
500,"Product refunded

Looks terrible in Steamdeck.",42,0,0.4,2025-06-22
501,w game,5,1,41.2,2025-06-22
502,"I and extremely upset at the fact that any of us have to come to the comments and comment on how messed up this game is. It’s disheartening to have bought this game from a beloved series that got it right in the previous games. I literally bought this game an hr ago. It took 1 hour to download on to my steam deck, once I got it booted up and started the new game I saw nothing but glitches as soon as Miles runs back to the room I see nothing but floating heads. I decided that I would close it out and restart it, as soon as I got into the opening web slinging sequence it was so glitchy, the buildings were grainy the hair is see through, it’s glitching inbetween frames whips swinging. Having played both the Spider-Man and Miles within the last few months on the steam deck I can say that they run incredibly smooth and are worth buying and replaying. Only buy this once it goes into deep discount. Please save yourself the headache",759,0,0.7,2025-06-22
503,its so fun and i don't have to buy a ps5,30,1,25.8,2025-06-22
504,we,2,1,33.0,2025-06-22
505,/,1,1,42.4,2025-06-22
506,"very fun and even has good side quests, the real story is also long and enjoyable",66,1,32.8,2025-06-22
507,thick peter and miles,18,1,19.8,2025-06-22
508,"Not a good game for my pc. My gpu was bottlenecked (which never happened before with any other games, including cyberpunk) and im not even into the first scene of the game. stick to the ps5 version, yall. im gonna get that instead of this one.

Specs:
Intel i7-13000s series cpu
NVIDIA RTX 3060
32 GB RAM
3 TB (Idk but one of them is a WD-BLACK 2 TB)",287,0,0.7,2025-06-22
509,"Marvel’s Spider-Man 2 on PC is an absolute masterpiece! The visuals are stunning, with ray-traced lighting and incredibly detailed cityscapes that make swinging through New York an unforgettable experience. The combat mechanics are fluid, dynamic, and packed with satisfying combos that make every fight feel like a superhero spectacle. And the story? Simply phenomenal—packed with emotional depth, thrilling twists, and moments that will leave you breathless. This is superhero gaming at its finest! 10/10 – a must-play!",445,1,27.5,2025-06-22
510,โคตรเพลินครับ บอกแค่นี้,22,1,24.4,2025-06-22
511,prea scurt,9,1,37.6,2025-06-21
512,Such an immersive game. I had a lot of fun and would recommend this game to anyone.,67,1,38.5,2025-06-21
513,A neat retelling of the classic Spider-Man Black Suit saga. Hope your rig can run it.,70,1,41.6,2025-06-21
514,"Product received for free

great game",33,1,30.8,2025-06-21
515,"not bad but the game itself could've used another year or two in the oven, everything besides the traversal and combat is just okay, still recommend it even if its clearly rushed",147,1,46.4,2025-06-21
516,good,4,1,45.7,2025-06-21
517,"Very fun if you've played either of the other two, great story so far",56,1,242.6,2025-06-21
518,"The provided minimal system requirements are a bull. I have higher then expected minimum, and even after putting everything as low as it can go, the game would still run wopping 12 FPS in some scenes and crashed after 58 minutes of playing (cutscenes included)",216,0,1.0,2025-06-21
519,"Great 2nd Chapter in Sony's Spider-Man Series, amazing story

Game runs like absolute garbage compared to Spider-Man Remastered, which i use ultra settings at 120fps with no stutters. i have this games settings as low as it can go without it looking like complete ass and i average 30 fps during gameplay and crazy stutters even during cutscenes. i spent more time tweaking settings than i actually got to play the game. it is very noticeable coming straight from Spider-Man Remastered to Spider-Man 2. if i were you, i would wait for at least 3 more optimization patches to buy and play this game to the best ability it can be played at and enjoyed the most it can be.",551,1,22.7,2025-06-21
520,Amazing game and stories,21,1,30.4,2025-06-21
521,0/10 cant crouch,14,0,28.1,2025-06-21
522,i,1,1,33.8,2025-06-21
523,What an awesome game!! 10/10,24,1,19.8,2025-06-21
524,"great mechanics, and story!",24,1,18.2,2025-06-21
525,w game,5,1,23.6,2025-06-21
526,so much fun,9,1,57.9,2025-06-21
527,goood pla,8,1,10.7,2025-06-21
528,game is tuff,10,1,86.9,2025-06-20
529,"Product received for free

Crashes often and performs awfully, and when its running its an inferior game to the first. It's plagued even harder than the original with tons of nonsense puzzles and busy work when I really just wanna play as one of the Spider-Men. Not a bad game by any means but I'd wait for a sale even if you are invested in Insomniac's Spider-Man game series.",310,0,21.4,2025-06-21
530,good game,8,1,24.4,2025-06-20
531,"Best game
Love being a spooder",26,1,17.4,2025-06-20
532,thought it wouldnt run on my laptop. love this game though super fun to finally have a good spiderman game,87,1,49.0,2025-06-20
533,Good,4,1,540.7,2025-06-20
534,This game is amazing and definitely worth the price. Insomniac did a great job on this,71,1,18.4,2025-06-20
535,thisd game is so sigma,18,1,14.4,2025-06-20
536,"Very cinematic and fun to play, runs great on my system.",46,1,10.8,2025-06-20
537,Peak NYC experience!,18,1,51.4,2025-06-20
538,"Very meh. Where Spider-Man 1 had a very tight story, a good feeling open world and exciting combat, Spider-Man 2 comes up short on all counts. I am still recommending it because the combat is super fun. Fighting as Spider-Man is exciting and fluid. However, the the filler inbetween the fights falls flat IMO.",256,1,10.1,2025-06-20
539,"Played this on release and never really had any big issues, always ran smoothly with the odd glitch once or twice, so I got lucky it seems (compared to others).
I'm a big sucker for these open world movement games and loved the first instalment, and this one is simply more of the same fun. Gameplay was great, swinging around, fighting stuff, movement was very smooth, though I wasn't a fan of the gliding at first but it grew on me. With NG+ I went through the game 3-4 times until I had everything unlocked, even on the hardest difficulty it wasn't that tough. Side missions felt more varied compared to the previous game as well, less repetitive and more interesting. Main story is good, sometimes predictable and a bit too much filler but fine overall

If you like the previous game or the Batman Arkham series this is a 100% recommend",691,1,70.0,2025-06-20
540,.,1,1,25.6,2025-06-20
541,love it,6,1,81.6,2025-06-19
542,i love it,7,1,27.2,2025-06-19
543,some bugs and bad optimisation but it's a good game,42,1,20.2,2025-06-19
544,i am lovin this game,16,1,47.9,2025-06-19
545,good game!!,10,1,27.9,2025-06-19
546,"Product received for free

best game ever to play 10/10",47,1,20.6,2025-06-19
547,"Where to start ? Gameplay is good its as good as the original , but everything else is kin of underwhelming, boring story , bad writing ,bad side missions. One to pick up cheap but don't pay full price for it.",169,0,16.7,2025-06-19
548,WHEN WILL NEXXIS OPTIMIZE THIS GAME FOR GAMING LAPTOPS LIKE A asus LAPTOP I WASTED 60 BUCKS ON THIS but to be fair im running a gtx 1050 series (not TI) and i have 1.14 TB of storage but for ram i have 8.00 BUT PLEASE INSOMNIAC JUST MAKE THIS GAME PLAYABLE FOR LOW END,214,0,15.5,2025-06-20
549,"its passable. remove the boring parts where u dont play as spiderman and this game is pretty good. i dont enjoy playing as mj. it was the worst part of the previous game and they thought they could give her a taser and make it more fun. i also dont like the danika podcast, bring back jjj. combat is fun, upgrades are nice, they improved on the swinging from the previous games. bossfights on spectacular are actually somewhat challenging. my only problem is sometimes they have limited movesets and they feel a little like damage sponges. this is probably a must buy if it goes on sale, but i wouldnt get this full price, unless you are a spiderman fan, or cant get enough of the first game. 6.5/10 (i havent finished the story yet this is a midgame review)",619,1,16.1,2025-06-20
550,"Great game, some boss fights get a bit tedious, very nice visuals. Performance could be better. Overall better than the first game IMO. 8.5/10",119,1,24.3,2025-06-19
551,I dare say a SPECTACULAR game,24,1,47.6,2025-06-19
552,"This game is a great improvement from Spider-Man 1 and Miles Morales for sure. Web swinging is so much smoother and they give you a lot more to do while you’re in the air including tricks and other ways to gain speed and traverse faster like the web wings (wingsuit). Peter and Miles both get new powers to use against a wide enemy variety. There are up to 4 or 5 different common enemy types you fight so there’s always a use for a certain power or gadget. Combat feels pretty much the same from miles morales with some obviously new moves and stuff you can do. The story is great I did like it more than the miles morales story but only for a few reasons. The biggest one being how sick the 2 main villains were in this game with the introduction of Kraven in the series and the late arrival of Venom as the main villain. And one of my big gripes with the story is how they kinda just throw away Kraven in less than 10 minutes far into the story to focus on the introduction of Venom. However Kraven as a villain is great I don’t know the lore behind Kraven but as far as I’m concerned he’s just a dude that’s really strong and smart. He doesn’t seem to have any “powers”. Now even though the story is great i have I think like 25-26 hours into the game and I have already beaten the story, all of the FNSM app requests, and most of the activities you can do throughout the map. The story picks up around 6 months after the events of Miles Morales and the underground shenanigans with Pete back in America helping out Miles. And this leads to me complaining how boring and downright pointless some of the side missions are and it would be fine with me if they were fun at all. But a lot of them aren’t. For example a Peter exclusive side quest storyline has you helping a scientist test different devices for green energy and it’s oh so very boring and takes up a decent amount of time for something I’m not there for but for people like me who would like to 100% the game is very annoying. It’s the same for miles but his are more entertaining and have you actually doing Spider-Man stuff through time trials. There are side missions and activities you do that are really fun and actually pertain to the story. A thing I wasn’t too fond and I am never to fond of in superhero media is the corny dialogue that plagues this game. The story is great but sometimes I can’t stand the characters just because of their terrible dialogue. It’s not a big thing but it’s something I noticed. Finally the performance of this game is good but not amazing for PC. I have a decent pc ryzen 7 5800x3D with a 3070 and I ran a constant 70-100fps swinging through the city on very high settings without raytracing around 30-40fps with raytracing. However it crashes for me pretty often and I haven’t found a fix. And I guess for those who are wanting to play on steam deck it’s alright if you tweak the settings a little bit but it’ll run about 30-40fps swinging through the city with frame drops at certain times or if you near a certain part of the map or cutscene. But either way it works and its not bad at all for a handheld. However if you can play it on pc I would try it on pc first before playing it on the steam deck. I would not get it specifically for the steam deck unless it’s on sale.

Overall, a pretty good game but a great story and gameplay with a lot of small bad things that keep the game from reaching full potential. I would recommend this game even if you aren’t into marvel or Spider-Man. And if you want it for the steam deck wait until it’s on sale for under 50 bucks.",2895,1,34.7,2025-06-19
553,good,4,1,34.7,2025-06-19
554,"great story, super fun, really great experience.",42,1,12.4,2025-06-19
555,So worth it,9,1,28.2,2025-06-19
556,nope,4,0,14.9,2025-06-19
557,amazing game,11,1,25.0,2025-06-19
558,very fun. you can web people to walls with your 19 inches of venom,53,1,28.5,2025-06-19
559,"I managed to play what should have been the first 5 minutes in 35 min and got stuck in a building doing the first fight. besides that it runs very poorly and it had to load every 10 sek. In the cutscenes the sound was delayed and characters Keep pupping up that was not suposed to be there on top and inside other characters.

1/10 would not recommend.",286,0,3.2,2025-06-19
560,gg,2,1,33.3,2025-06-18
561,W game,5,1,17.3,2025-06-18
562,"Frame drops/stuttering on cutscenes, especially when Peter changes his suit into the symbiote, and I also encountered some audio delay",115,0,69.4,2025-06-18
563,I love this game.... Enough said,27,1,45.1,2025-06-18
564,"Amazing game, about Amazing Spider-Man. The best plot and gameplay I ever seen",66,1,682.2,2025-06-18
565,amazing graphics,15,1,41.1,2025-06-18
566,fun,3,1,24.3,2025-06-18
567,no,2,1,57.0,2025-06-18
568,"I like that they added a little bit of bit of Brooklyn and Queens in the game, they don't usually add other boroughs except Manhattan. Regarding game play i love the new flying style they added and how the two Spider-Men fight side by side often. Cool and Immersive.",218,1,37.2,2025-06-18
569,"Gameplay, combat, traversal, etc., slightly better and still fun. More cc abilities and less emphasis in the stealth (tbf not like the previous games had the greatest stealth to begin with) Story is kinda eh comparatively to the previous games with a lot of missed potential, cliches, and too many plots and characters to juggle, but still alright, kinda, I guess…. thank goodness for the skip puzzles and cinematic options. Performance on pc kinda eh, but playable",389,1,45.9,2025-06-18
570,Such a fantastic game from start to finish,35,1,16.8,2025-06-18
571,GET THIS STUPID BLACK ♥♥♥♥ OFF OF MEEE,31,1,18.8,2025-06-18
572,yo this game is tuff asl bruh buy it my brotha,36,1,22.9,2025-06-18
573,good,4,1,69.4,2025-06-18
574,Pretty good,10,1,3.6,2025-06-17
575,Very nice game (Got all the achievements in 50h),40,1,50.8,2025-06-17
576,Played the first one on PS4 and on PC when it came out. Also played Miles Morales. Really loving this sequel.,89,1,11.0,2025-06-17
577,Best superhero game i ever played.,29,1,82.4,2025-06-17
578,hell yeah,8,1,63.1,2025-06-17
579,TRUE BLOCKBUSTER SPIDERMAN EXPERIENCE,34,1,33.4,2025-06-17
580,it its the best game have EVEr played,30,1,22.2,2025-06-17
581,greeat game.,11,1,83.5,2025-06-17
582,Thwip and Quip,12,1,37.9,2025-06-17
583,Really enjoyed this sequel. Super fun and game didnt crash a single time,60,1,31.5,2025-06-17
584,Very Fun. I couldn't recommend this game enough.,41,1,16.9,2025-06-17
585,game runs fine on default settings,29,1,32.9,2025-06-17
586,This is the coolest game on planet earth hands down,42,1,67.0,2025-06-17
588,I haven't finished it yet but I am really enjoying it! Smooth combat (like the last game but with extra gadgets!) and swinging. The story isn't as good as the first game but I still think it is fairly strong! Adding little twists here and there. Visually looks great and I haven't really come across many performance issues. A few visual and audio bugs here and there but not enough to ruin the experience or story for me! I do have a decent system so I can't comment on performance for everyone else - but glad I waited for a few patches to release - big recommend if you are a fan of the first 2 and spider-man in general,504,1,26.8,2025-06-17
589,"i built my pc from the ground up for future gaming and when this game came out for PC, i was scared that i would not be able to run it. Lets just say i meet the Requirements and this game runs so smooth at HIGH SETTINGS. i am literally blown away at the action pieces and the swinging. They even added that new wing suit too. Really love this game. The 3rd installment in this franchise. All wonderful and awesome games. i am happy that the devs did not remove certain things about the combat but rather IMPROVED on it. Unlike *cough* the batman games **LOUDER COUGH** Arkham Knights.

If you are hesitant about getting this game, you will be disappointed in the slightest.",550,1,12.3,2025-06-17
590,venom is papi,11,1,17.5,2025-06-17
591,This Game is sick i love it i finished it a bit ago but still this great,56,1,49.7,2025-06-16
592,Graphics and Frames are great. Started a bit slow with the cinematics but its fun now that I can switch characters and go all around the city,115,1,16.9,2025-06-16
593,its very good game,15,1,26.3,2025-06-16
